subject,body,label
Verify your account,Click to confirm your password immediately,1
Security alert,Suspicious login detected from a new device,1
Update billing info,Your payment failed—visit the portal to re-enter details,1
Unusual activity,We paused your account for security reasons,1
Payroll update,Submit your bank details via the attached form,1
Win a gift card,Congratulations! Claim your $100 card here,1
Account locked,Reset your password using this link,1
Urgent: Invoice due,Payment overdue—open the invoice now,1
Mailbox quota exceeded,Your mailbox is full—click to extend,1
DocuSign pending,Please sign the attached document today,1
Team meeting tomorrow,Agenda attached for tomorrow’s meeting,0
Lunch order,Please fill today’s lunch preference,0
Weekly report,Attached is this week’s status report,0
Schedule update,Room changed to 302 for the workshop,0
Thanks for your help,Sharing notes from our last call,0
Holiday calendar,Updated holidays for this semester,0
Project kickoff,Slides for the kickoff attached,0
Onboarding docs,Welcome! Forms are attached,0
Travel itinerary,Flight and hotel details enclosed,0
Newsletter October,Highlights from this month’s events,0
